Site_ID,Grade_Description,Date,Profit
10808,Unleaded Gas,2020-04-17,285.07
10808,Unleaded Gas,2020-04-18,216.08
10808,Unleaded Gas,2020-04-19,157.62
10808,Unleaded Gas,2020-04-20,209.77
10808,Unleaded Gas,2020-04-21,200.05
10808,Unleaded Gas,2020-04-22,155.18
10808,Unleaded Gas,2020-04-23,167.96
10808,Unleaded Gas,2020-04-24,216.09
10808,Unleaded Gas,2020-04-25,207.84
10808,Unleaded Gas,2020-04-26,132.0
10808,Unleaded Gas,2020-04-27,193.17
10808,Unleaded Gas,2020-04-28,183.74
10808,Unleaded Gas,2020-04-29,193.88
10808,Unleaded Gas,2020-04-30,204.81
10808,Unleaded Gas,2020-05-01,294.61
10808,Unleaded Gas,2020-05-02,121.49
10808,Unleaded Gas,2020-05-03,109.12
10808,Unleaded Gas,2020-05-04,155.51
10808,Unleaded Gas,2020-05-05,95.77
10808,Unleaded Gas,2020-05-06,35.91
10808,Unleaded Gas,2020-05-07,106.09
10808,Unleaded Gas,2020-05-08,108.77
10808,Unleaded Gas,2020-05-09,100.37
10808,Unleaded Gas,2020-05-10,83.87
10808,Unleaded Gas,2020-05-11,42.28
10808,Unleaded Gas,2020-05-12,32.04
10808,Unleaded Gas,2020-05-13,44.05
10808,Unleaded Gas,2020-05-14,125.71
10808,Unleaded Gas,2020-05-15,70.03
10808,Unleaded Gas,2020-05-16,57.37
10808,Unleaded Gas,2020-05-17,44.29
10808,Unleaded Gas,2020-05-18,96.89
10808,Unleaded Gas,2020-05-19,93.88
10808,Unleaded Gas,2020-05-20,33.46
10808,Unleaded Gas,2020-05-21,95.73
10808,Unleaded Gas,2020-05-22,136.39
10808,Unleaded Gas,2020-05-23,59.26
10808,Unleaded Gas,2020-05-24,30.74
10808,Unleaded Gas,2020-05-25,5.12
10808,Unleaded Gas,2020-05-26,98.46
10808,Unleaded Gas,2020-05-27,163.93
10808,Unleaded Gas,2020-05-28,162.44
10808,Unleaded Gas,2020-05-29,200.13
10808,Unleaded Gas,2020-05-30,130.11
10808,Unleaded Gas,2020-05-31,123.76
10808,Unleaded Gas,2020-06-01,165.68
10808,Unleaded Gas,2020-06-02,161.73
10808,Unleaded Gas,2020-06-03,180.97
10808,Unleaded Gas,2020-06-04,145.9
10808,Unleaded Gas,2020-06-05,184.94
10808,Unleaded Gas,2020-06-06,158.39
10808,Unleaded Gas,2020-06-07,83.12
10808,Unleaded Gas,2020-06-08,205.86
10808,Unleaded Gas,2020-06-09,171.34
10808,Unleaded Gas,2020-06-10,255.93
10808,Unleaded Gas,2020-06-11,170.48
10808,Unleaded Gas,2020-06-12,230.42
10808,Unleaded Gas,2020-06-13,161.22
10808,Unleaded Gas,2020-06-14,131.23
10808,Unleaded Gas,2020-06-15,160.83
10808,Unleaded Gas,2020-06-16,167.45
10808,Unleaded Gas,2020-06-17,85.24
10808,Unleaded Gas,2020-06-18,193.04
10808,Unleaded Gas,2020-06-19,269.15
10808,Unleaded Gas,2020-06-20,222.16
10808,Unleaded Gas,2020-06-21,103.99
10808,Unleaded Gas,2020-06-22,197.36
10808,Unleaded Gas,2020-06-23,175.91
10808,Unleaded Gas,2020-06-24,204.92
10808,Unleaded Gas,2020-06-25,182.95
10808,Unleaded Gas,2020-06-26,225.51
10808,Unleaded Gas,2020-06-27,189.12
10808,Unleaded Gas,2020-06-28,128.89
10808,Unleaded Gas,2020-06-29,232.73
10808,Unleaded Gas,2020-06-30,250.63
10808,Unleaded Gas,2020-07-01,195.62
10808,Unleaded Gas,2020-07-02,122.42
10808,Unleaded Gas,2020-07-03,-18.21
10808,Unleaded Gas,2020-07-04,-14.41
10808,Unleaded Gas,2020-07-05,-17.0
10808,Unleaded Gas,2020-07-06,-29.28
10808,Unleaded Gas,2020-07-07,207.22
10808,Unleaded Gas,2020-07-08,200.65
10808,Unleaded Gas,2020-07-09,209.68
10808,Unleaded Gas,2020-07-10,237.2
10808,Unleaded Gas,2020-07-11,42.41
10808,Unleaded Gas,2020-07-12,-14.61
10808,Unleaded Gas,2020-07-13,-24.3
10808,Unleaded Gas,2020-07-14,-16.79
10808,Unleaded Gas,2020-07-15,-17.25
10808,Unleaded Gas,2020-07-16,-14.66
10808,Unleaded Gas,2020-07-17,-28.24
10808,Unleaded Gas,2020-07-18,-33.85
10808,Unleaded Gas,2020-07-19,2.61
10808,Unleaded Gas,2020-07-20,3.97
10808,Unleaded Gas,2020-07-21,285.13
10808,Unleaded Gas,2020-07-22,310.55
10808,Unleaded Gas,2020-07-23,206.33
10808,Unleaded Gas,2020-07-24,303.16
10808,Unleaded Gas,2020-07-25,128.58
10808,Unleaded Gas,2020-07-26,89.95
10808,Unleaded Gas,2020-07-27,115.96
10808,Unleaded Gas,2020-07-28,79.96
10808,Unleaded Gas,2020-07-29,66.49
10808,Unleaded Gas,2020-07-30,0.74
10808,Unleaded Gas,2020-07-31,17.9
10808,Unleaded Gas,2020-08-01,34.29
10808,Unleaded Gas,2020-08-02,38.33
10808,Unleaded Gas,2020-08-03,67.37
10808,Unleaded Gas,2020-08-04,50.88
10808,Unleaded Gas,2020-08-05,53.09
10808,Unleaded Gas,2020-08-06,54.19
10808,Unleaded Gas,2020-08-07,20.34
10808,Unleaded Gas,2020-08-08,3.94
10808,Unleaded Gas,2020-08-09,3.42
10808,Unleaded Gas,2020-08-10,5.86
10808,Unleaded Gas,2020-08-11,-25.06
10808,Unleaded Gas,2020-08-12,103.51
10808,Unleaded Gas,2020-08-13,143.02
10808,Unleaded Gas,2020-08-14,124.69
10808,Unleaded Gas,2020-08-15,117.39
10808,Unleaded Gas,2020-08-16,88.89
10808,Unleaded Gas,2020-08-17,119.71
10808,Unleaded Gas,2020-08-18,116.11
10808,Unleaded Gas,2020-08-19,132.67
10808,Unleaded Gas,2020-08-20,36.76
10808,Unleaded Gas,2020-08-21,-4.29
10808,Unleaded Gas,2020-08-22,-7.02
10808,Unleaded Gas,2020-08-23,-4.26
10808,Unleaded Gas,2020-08-24,73.1
10808,Unleaded Gas,2020-08-25,141.75
10808,Unleaded Gas,2020-08-26,110.92
10808,Unleaded Gas,2020-08-27,103.82
10808,Unleaded Gas,2020-08-28,74.88
10808,Unleaded Gas,2020-08-29,20.08
10808,Unleaded Gas,2020-08-30,14.76
10808,Unleaded Gas,2020-08-31,-17.82
10808,Unleaded Gas,2020-09-01,-69.04
10808,Unleaded Gas,2020-09-02,-65.51
10808,Unleaded Gas,2020-09-03,-136.17
10808,Unleaded Gas,2020-09-04,-99.93
10808,Unleaded Gas,2020-09-05,-72.06
10808,Unleaded Gas,2020-09-06,-53.27
10808,Unleaded Gas,2020-09-07,-50.21
10808,Unleaded Gas,2020-09-08,-61.32
10808,Unleaded Gas,2020-09-09,-18.11
10808,Unleaded Gas,2020-09-10,-22.64
10808,Unleaded Gas,2020-09-11,-26.77
10808,Unleaded Gas,2020-09-12,-21.87
10808,Unleaded Gas,2020-09-13,8.27
10808,Unleaded Gas,2020-09-14,-39.22
10808,Unleaded Gas,2020-09-15,-47.71
10808,Unleaded Gas,2020-09-16,-9.52
10808,Unleaded Gas,2020-09-17,1.91
10808,Unleaded Gas,2020-09-18,-25.64
10808,Unleaded Gas,2020-09-19,-23.14
10808,Unleaded Gas,2020-09-20,-29.05
10808,Unleaded Gas,2020-09-21,-45.84
