LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
787,866559800,Exxon,Exxon,FREDERICKSBURG,VA,US,38.29544,-77.51553
788,201716800,Exxon,Exxon,WOODFORD,VA,US,38.13236,-77.5131
789,882053200,Exxon,Exxon,FREDERICKSBURG,VA,US,38.24579,-77.499
790,776134900,Exxon,Exxon,MANASSAS,VA,US,38.79881,-77.51847
791,329857700,Exxon,Exxon,MANASSAS,VA,US,38.78242,-77.51171
792,671251700,Exxon,Exxon,FREDERICKSBURG,VA,US,38.23508,-77.50199
793,550164800,Exxon,Exxon,STAFFORD,VA,US,38.46038,-77.40638
794,597752500,Exxon,Exxon,CENTREVILLE,VA,US,38.86757,-77.4484
795,76404300,Exxon,Exxon,ASHBURN,VA,US,39.02397,-77.48038
796,320624000,Exxon,Exxon,STERLING,VA,US,38.963,-77.49486
797,448367300,Exxon,Exxon,MANASSAS,VA,US,38.74223,-77.45094
798,644068900,Exxon,Exxon,ASHBURN,VA,US,38.99676,-77.48202
799,796252500,Exxon,Exxon,STERLING,VA,US,39.02641,-77.39518
800,797787900,Exxon,Exxon,ASHBURN,VA,US,39.03723,-77.50322
801,302164900,Exxon,Exxon,ASHBURN,VA,US,39.02874,-77.48763
802,706158300,Exxon,Exxon,ASHBURN,VA,US,39.01092,-77.49251
803,44355600,Exxon,Exxon,HERNDON,VA,US,38.92454,-77.41663
804,446386500,Exxon,Exxon,RESTON,VA,US,38.94638,-77.35686
805,70104500,Exxon,Exxon,RESTON,VA,US,38.95062,-77.33576
806,654579200,Exxon,Exxon,HERNDON,VA,US,38.99929,-77.34319
807,447586900,Exxon,Exxon,CENTREVILLE,VA,US,38.83883,-77.4254
808,186126900,Exxon,Exxon,HERNDON,VA,US,38.92517,-77.37709
809,787832500,Exxon,Exxon,COLUMBIA,MD,US,39.20892,-76.80315
810,804467900,Exxon,Exxon,SILVER SPRING,MD,US,38.9936,-77.03239
811,514592501,Exxon,Exxon,MANASSAS,VA,US,38.74091,-77.4711
812,367685500,Unknown,Unknown,DUBLIN,VA,US,37.08316,-80.69048
813,780834801,Exxon,Exxon,EDGEWOOD,MD,US,39.45315,-76.30535
